Elapsed Time,Heart Rate PulseOx1,PPG PulseOx1,SpO2 PulseOx1,BioRadio Event
00:27.8,84,80.29175568,96,0
00:27.8,84,80.29175568,96,0
00:27.8,84,80.29175568,96,0
00:27.8,84,79.73265839,96,0
00:27.8,84,79.73265839,96,0
00:27.8,84,79.73265839,96,0
00:27.8,84,79.38353729,96,0
00:27.8,84,79.38353729,96,0
00:27.8,84,79.38353729,96,0
00:27.8,84,79.38353729,96,0
00:27.8,84,79.25170135,96,0
00:27.8,84,79.25170135,96,0
00:27.8,84,79.25170135,96,0
00:27.9,84,79.32494354,96,0
00:27.9,84,79.32494354,96,0
00:27.9,84,79.32494354,96,0
00:27.9,84,79.56908417,96,0
00:27.9,84,79.56908417,96,0
00:27.9,84,79.56908417,96,0
00:27.9,84,79.56908417,96,0
00:27.9,84,79.9230957,96,0
00:27.9,84,79.9230957,96,0
00:27.9,84,79.9230957,96,0
00:27.9,84,80.31372833,96,0
00:27.9,84,80.31372833,96,0
00:27.9,84,80.31372833,96,0
00:27.9,84,80.67017365,96,0
00:27.9,84,80.67017365,96,0
00:27.9,84,80.67017365,96,0
00:27.9,84,80.67017365,96,0
00:27.9,84,80.93873596,96,0
00:27.9,84,80.93873596,96,0
00:27.9,84,80.93873596,96,0
00:27.9,84,81.07789612,96,0
00:27.9,84,81.07789612,96,0
00:27.9,84,81.07789612,96,0
00:27.9,84,81.07545471,96,0
00:27.9,84,81.07545471,96,0
00:28.0,84,81.07545471,96,0
00:28.0,84,81.07545471,96,0
00:28.0,84,80.94117737,96,0
00:28.0,84,80.94117737,96,0
00:28.0,84,80.94117737,96,0
00:28.0,84,80.69947052,96,0
00:28.0,84,80.69947052,96,0
00:28.0,84,80.69947052,96,0
00:28.0,84,80.38452911,96,0
00:28.0,84,80.38452911,96,0
00:28.0,84,80.38452911,96,0
00:28.0,84,80.38452911,96,0
00:00:28,84,80.02807617,96,0
00:28.0,84,80.02807617,96,0
00:28.0,84,80.02807617,96,0
00:28.0,84,79.65697479,96,0
00:28.0,84,79.65697479,96,0
00:28.0,84,79.65697479,96,0
00:28.0,84,79.65697479,96,0
00:28.0,84,79.28832245,96,0
00:28.0,84,79.28832245,96,0
00:28.0,84,79.28832245,96,0
00:28.0,84,78.94651794,96,0
00:28.0,84,78.94651794,96,0
00:28.0,84,78.94651794,96,0
00:28.1,84,78.63889313,96,0
00:28.1,84,78.63889313,96,0
00:28.1,84,78.63889313,96,0
00:28.1,84,78.63889313,96,0
00:28.1,84,78.37277985,96,0
00:28.1,84,78.37277985,96,0
00:28.1,84,78.37277985,96,0
00:28.1,84,78.16036987,96,0
00:28.1,84,78.16036987,96,0
00:28.1,84,78.16036987,96,0
00:28.1,84,77.99923706,96,0
00:28.1,84,77.99923706,96,0
00:28.1,84,77.99923706,96,0
00:28.1,84,77.99923706,96,0
00:28.1,84,77.87472534,96,0
00:28.1,84,77.87472534,96,0
00:28.1,84,77.87472534,96,0
00:28.1,84,77.78683472,96,0
00:28.1,84,77.78683472,96,0
00:28.1,84,77.78683472,96,0
00:28.1,84,77.72823334,96,0
00:28.1,84,77.72823334,96,0
00:28.1,84,77.72823334,96,0
00:28.1,84,77.68428802,96,0
00:28.1,84,77.68428802,96,0
00:28.2,84,77.68428802,96,0
00:28.2,84,77.68428802,96,0
00:28.2,84,77.65743256,96,0
00:28.2,84,77.65743256,96,0
00:28.2,84,77.65743256,96,0
00:28.2,84,77.65499115,96,0
00:28.2,84,77.65499115,96,0
00:28.2,84,77.65499115,96,0
00:28.2,84,77.66963959,96,0
00:28.2,84,77.66963959,96,0
00:28.2,84,77.66963959,96,0
00:28.2,84,77.66963959,96,0
00:28.2,84,77.70137787,96,0
00:28.2,84,77.70137787,96,0
00:28.2,84,77.70137787,96,0
00:28.2,84,77.75021362,96,0
00:28.2,84,77.75021362,96,0
00:28.2,84,77.75021362,96,0
00:28.2,84,77.80636597,96,0
00:28.2,84,77.80636597,96,0
00:28.2,84,77.80636597,96,0
00:28.2,84,77.80636597,96,0
00:28.2,84,77.87228394,96,0
00:28.2,84,77.87228394,96,0
00:28.2,84,77.87228394,96,0
00:28.3,84,77.9357605,96,0
00:28.3,84,77.9357605,96,0
00:28.3,84,77.9357605,96,0
00:28.3,84,77.98947144,96,0
00:28.3,84,77.98947144,96,0
00:28.3,84,77.98947144,96,0
00:28.3,84,77.98947144,96,0
00:28.3,84,78.02853394,96,0
00:28.3,84,78.02853394,96,0
00:28.3,84,78.02853394,96,0
00:28.3,84,78.04562378,96,0
00:28.3,84,78.04562378,96,0
00:28.3,84,78.04562378,96,0
00:28.3,84,78.03341675,96,0
00:28.3,84,78.03341675,96,0
00:28.3,84,78.03341675,96,0
00:28.3,84,78.03341675,96,0
00:28.3,84,77.99191284,96,0
00:28.3,84,77.99191284,96,0
00:28.3,84,77.99191284,96,0
00:28.3,84,77.92599487,96,0
00:28.3,84,77.92599487,96,0
00:28.3,84,77.92599487,96,0
00:28.3,84,77.83810425,96,0
00:28.3,84,77.83810425,96,0
00:28.4,84,77.83810425,96,0
00:28.4,84,77.83810425,96,0
00:28.4,84,77.73067474,96,0
00:28.4,84,77.73067474,96,0
00:28.4,84,77.73067474,96,0
00:28.4,84,77.62081146,96,0
00:28.4,84,77.62081146,96,0
00:28.4,84,77.62081146,96,0
00:28.4,84,77.62081146,96,0
00:28.4,84,77.53047943,96,0
00:28.4,84,77.53047943,96,0
00:28.4,84,77.53047943,96,0
00:28.4,84,77.49385834,96,0
00:28.4,84,77.49385834,96,0
00:28.4,84,77.49385834,96,0
00:28.4,84,77.57686615,96,0
00:28.4,84,77.57686615,96,0
00:28.4,84,77.57686615,96,0
00:28.4,84,77.87716675,96,0
00:28.4,84,77.87716675,96,0
00:28.4,84,77.87716675,96,0
00:28.4,84,77.87716675,96,0
00:28.4,84,78.50705719,96,0
00:28.4,84,78.50705719,96,0
00:28.4,84,78.50705719,96,0
00:28.5,84,79.53246307,96,0
00:28.5,84,79.53246307,96,0
00:28.5,84,79.53246307,96,0
00:28.5,84,80.93385315,96,0
00:28.5,84,80.93385315,96,0
00:28.5,84,80.93385315,96,0
00:28.5,84,80.93385315,96,0
00:28.5,84,82.59403229,96,0
00:28.5,84,82.59403229,96,0
00:28.5,84,82.59403229,96,0
00:28.5,84,84.30060577,96,0
00:28.5,84,84.30060577,96,0
00:28.5,84,84.30060577,96,0
00:28.5,84,85.80941772,96,0
00:28.5,84,85.80941772,96,0
00:28.5,84,85.80941772,96,0
00:28.5,84,85.80941772,96,0
00:28.5,84,86.9080658,96,0
00:28.5,84,86.9080658,96,0
00:28.5,84,86.9080658,96,0
00:28.5,84,87.49645233,96,0
00:28.5,84,87.49645233,96,0
00:28.5,84,87.49645233,96,0
00:28.5,84,87.56481171,96,0
00:28.5,84,87.56481171,96,0
00:28.6,84,87.56481171,96,0
00:28.6,84,87.56481171,96,0
